Trade Date,Trade Time,Order Time,Security Name,ISIN,Exchange,Order Source,Transaction Type,Quantity,Market Rate,Total,GST,Brokerage,Misc.,Total Charges,STT/CTT
02/01/2026,16:33:00,16:32:54,FUTCOMCOPPER    30JAN2026,-,MCX     ,Kotak Securities,Buy,2500,1311.2,3278000,14.64,10,105.3,129.94,161.91
02/01/2026,21:38:22,21:34:53,FUTCOMCOPPER    30JAN2026,-,MCX     ,Kotak Securities,Sell,2500,1280.35,3200875,14.62,10,102.8,127.42,158.09
02/01/2026,09:30:11,09:30:11,FUTSTKRELIANCE  27JAN2026,-,NSEDERV ,Kotak Securities,Sell,1000,1593.2,1593200,7.32,10,46.72,64.04,159.62
02/01/2026,09:17:48,09:17:39,FUTSTKRELIANCE  27JAN2026,-,NSEDERV ,Kotak Securities,Buy,1000,1590.6,1590600,7.34,10,46.72,64.06,159.38
31/12/2025,09:00:34,09:00:34,FUTCOMNATURALGAS27JAN2026,-,MCX     ,Kotak Securities,Sell,3750,356,1335000,7.08,10,29.38,46.46,134
30/12/2025,10:14:59,10:14:44,FUTCOMCOPPER    30JAN2026,-,MCX     ,Kotak Securities,Sell,2500,1272,3180000,14.38,10,101.7,126.08,159.18
30/12/2025,09:58:49,09:58:49,FUTCOMCOPPER    30JAN2026,-,MCX     ,Kotak Securities,Buy,2500,1269,3172500,14.38,10,101.5,125.88,158.82
30/12/2025,22:07:19,22:06:56,FUTCOMNATURALGAS27JAN2026,-,MCX     ,Kotak Securities,Buy,3750,364.8,1368000,6.82,10,45.3,62.12,60.48
30/12/2025,18:51:15,18:51:15,FUTCOMNATURALGAS27JAN2026,-,MCX     ,Kotak Securities,Sell,3750,367.1333,1376749.88,6.84,10,45.6,62.44,60.87
30/12/2025,19:12:01,19:12:01,FUTCOMNATURALGAS27JAN2026,-,MCX     ,Kotak Securities,Sell,3750,374.9,1405875,6.82,10,46.56,63.38,62.16
30/12/2025,13:29:25,13:29:24,FUTCOMNATURALGAS27JAN2026,-,MCX     ,Kotak Securities,Buy,3750,358,1342500,6.98,10,44.72,61.7,59.43
30/12/2025,19:00:06,19:00:06,FUTCOMNATURALGAS27JAN2026,-,MCX     ,Kotak Securities,Buy,3750,371.1,1391625,6.86,10,46.12,62.98,61.54
30/12/2025,20:33:44,20:33:17,FUTCOMNATURALGAS27JAN2026,-,MCX     ,Kotak Securities,Buy,2500,367.7,919250,6.86,10,30.46,47.32,40.65
30/12/2025,18:59:59,18:59:59,FUTCOMNATURALGAS27JAN2026,-,MCX     ,Kotak Securities,Buy,3750,370.9,1390875,6.86,10,46.1,62.96,61.5
30/12/2025,19:13:00,19:12:45,FUTCOMNATURALGAS27JAN2026,-,MCX     ,Kotak Securities,Sell,2500,375.7,939250,6.86,10,31.12,47.98,41.53
30/12/2025,18:05:31,18:04:58,FUTCOMNATURALGAS27JAN2026,-,MCX     ,Kotak Securities,Sell,3750,364.2,1365750,6.86,10,45.27,62.13,60.39
30/12/2025,11:09:22,11:08:51,FUTCOMSILVERM   27FEB2026,-,MCX     ,Kotak Securities,Sell,5,236903,1184515,6.46,10,37.84,54.3,59.48
30/12/2025,09:00:10,09:00:09,FUTCOMSILVERM   27FEB2026,-,MCX     ,Kotak Securities,Buy,5,234852,1174260,6.48,10,37.54,54.02,58.97
29/12/2025,17:36:58,17:36:58,FUTCOMCOPPER    30JAN2026,-,MCX     ,Kotak Securities,Buy,2500,1253.95,3134875,14.24,10,100.29,124.53,156.97
29/12/2025,17:51:15,17:51:03,FUTCOMCOPPER    30JAN2026,-,MCX     ,Kotak Securities,Sell,2500,1257.55,3143875,14.24,10,100.54,124.78,157.42
29/12/2025,23:37:59,23:37:48,FUTCOMNATURALGAS27JAN2026,-,MCX     ,Kotak Securities,Sell,1250,360.9,451125,3.58,10,14.42,28,22.56
