Trade Date,Trade Time,Order Time,Security Name,ISIN,Exchange,Order Source,Transaction Type,Quantity,Market Rate,Total,GST,Brokerage,Misc.,Total Charges,STT/CTT
30/12/2025,11:08:32,11:08:32,Hindustan Copper Ltd,INE531E01026   ,NSE,Kotak Securities,Buy,1002,520.25,521290.5,4.64,10,24.66,39.3,65.13
30/12/2025,09:20:40,09:20:40,Hindustan Copper Ltd,INE531E01026   ,NSE,Kotak Securities,Sell,1000,502.1032,502103.2,4.66,10,23.77,38.43,62.75
30/12/2025,11:08:13,11:08:13,Hindustan Copper Ltd,INE531E01026   ,NSE,Kotak Securities,Sell,1,520.4,520.4,0.12,0.26,0.02,0.4,0.06
30/12/2025,11:08:24,11:08:24,Hindustan Copper Ltd,INE531E01026   ,NSE,Kotak Securities,Sell,1,520.1,520.1,0.12,0.26,0.02,0.4,0.06
16/12/2025,09:39:40,09:39:40,Meesho Ltd,INE0VDM01015,NSE,Kotak Securities,Sell,2500,192.0368,480092,2.74,0.01,15.22,17.97,480
10/12/2025,10:54:17,10:54:17,Meesho Ltd,INE0VDM01015,NSE,Kotak Securities,Buy,2500,172.29,430725,2.46,0.01,78.65,81.12,431
08/10/2025,09:17:30,09:17:30,Subros Ltd,INE287B01021   ,NSE,Kotak Securities,Sell,200,1117.2295,223445.9,1.28,0,7.08,8.36,223.36
08/10/2025,09:17:21,09:17:21,Vikram Solar Ltd,INE078V01014   ,NSE,Kotak Securities,Sell,500,323.2673,161633.65,0.92,0.01,5.12,6.05,161.64
24/09/2025,10:40:37,10:40:37,Subros Ltd,INE287B01021   ,NSE,Kotak Securities,Buy,200,1166.4,233280,1.32,0.01,42.39,43.72,233
15/09/2025,09:15:43,09:15:43,Hindustan Copper Ltd,INE531E01026   ,NSE,Kotak Securities,Buy,400,283.7996,113519.85,2.02,10,5.12,17.14,14.09
15/09/2025,15:20:11,15:20:11,Hindustan Copper Ltd,INE531E01026   ,NSE,Kotak Securities,Sell,400,280.46,112184,9.88,49,5.04,63.92,13.91
10/09/2025,09:29:21,09:29:21,Vikram Solar Ltd,INE078V01014   ,NSE,Kotak Securities,Buy,500,396.7,198350,1.14,0.01,36.29,37.44,198
09/09/2025,10:03:04,10:03:04,National Securities Depository Ltd,INE301O01023   ,NSE,Kotak Securities,Buy,250,1358.65,339662.5,4.2,10,18.08,32.28,42.34
09/09/2025,10:12:13,10:12:13,National Securities Depository Ltd,INE301O01023   ,NSE,Kotak Securities,Sell,250,1371,342750,4.12,10,18.19,32.31,42.66
08/09/2025,14:53:08,14:53:08,Subros Ltd,INE287B01021   ,NSE,Kotak Securities,Sell,200,963.3728,192674.55,1.1,0.01,6.11,7.22,193
02/09/2025,09:16:20,09:16:20,Dixon Technologies (India) Ltd,INE935N01020   ,NSE,Kotak Securities,Buy,15,17653,264795,3.32,10,12.42,25.74,33.1
02/09/2025,15:11:04,15:11:04,Dixon Technologies (India) Ltd,INE935N01020   ,NSE,Kotak Securities,Sell,15,17568.0667,263521,3.3,10,12.33,25.63,32.9
01/09/2025,09:46:14,09:46:14,Bajel Projects Ltd,INE0KQN01018   ,NSE,Kotak Securities,Sell,500,202.9,101450,0.58,0.01,3.21,3.8,101
31/07/2025,15:29:24,15:29:24,International Gemmological Institute (India) Ltd,INE0Q9301021   ,NSE,Kotak Securities,Sell,500,395,197500,1.14,0,6.26,7.4,197.5
